,Sentence: #,Word,POS,tag,-,Predict
52,Sentence: 20004,is,VBZ,O,,VBZ
53,Sentence: 20004,increasing,VBG,O,,VBG
54,Sentence: 20004,rapidly,RB,O,,RB
55,Sentence: 20004,.,.,O,,.
56,Sentence: 20005,Although,IN,O,,NNP
57,Sentence: 20005,ultimately,RB,O,,RB
58,Sentence: 20005,a,DT,O,,DT
59,Sentence: 20005,victor,NN,O,,NN
60,Sentence: 20005,in,IN,O,,IN
61,Sentence: 20005,World,NNP,O,,NNP
62,Sentence: 20005,Wars,NNP,O,,NNP
63,Sentence: 20005,I,NNP,B-eve,,NNP
64,Sentence: 20005,and,CC,O,,CC
65,Sentence: 20005,II,NNP,B-eve,,NNP
66,Sentence: 20005,",",",",O,,","
67,Sentence: 20005,France,NNP,B-geo,,NNP
68,Sentence: 20005,suffered,VBD,O,,VBD
69,Sentence: 20005,extensive,JJ,O,,JJ
70,Sentence: 20005,losses,NNS,O,,NNS
71,Sentence: 20005,in,IN,O,,IN
72,Sentence: 20005,its,PRP$,O,,PRP$
73,Sentence: 20005,empire,NN,O,,NN
74,Sentence: 20005,",",",",O,,","
75,Sentence: 20005,wealth,NN,O,,NN
76,Sentence: 20005,",",",",O,,","
77,Sentence: 20005,manpower,NN,O,,NN
78,Sentence: 20005,",",",",O,,","
79,Sentence: 20005,and,CC,O,,CC
80,Sentence: 20005,rank,NN,O,,VB
81,Sentence: 20005,as,IN,O,,IN
82,Sentence: 20005,a,DT,O,,DT
83,Sentence: 20005,dominant,JJ,O,,JJ
84,Sentence: 20005,nation-state,NN,O,,NNP
85,Sentence: 20005,.,.,O,,.
86,Sentence: 20006,Nevertheless,RB,O,,RB
87,Sentence: 20006,",",",",O,,","
88,Sentence: 20006,France,NNP,B-geo,,NNP
89,Sentence: 20006,today,NN,B-tim,,NN
90,Sentence: 20006,is,VBZ,O,,VBZ
91,Sentence: 20006,one,CD,O,,CD
92,Sentence: 20006,of,IN,O,,IN
93,Sentence: 20006,the,DT,O,,DT
94,Sentence: 20006,most,RBS,O,,RBS
95,Sentence: 20006,modern,JJ,O,,JJ
96,Sentence: 20006,countries,NNS,O,,NNS
97,Sentence: 20006,in,IN,O,,IN
98,Sentence: 20006,the,DT,O,,DT
99,Sentence: 20006,world,NN,O,,NN
100,Sentence: 20006,and,CC,O,,CC
101,Sentence: 20006,is,VBZ,O,,VBZ
102,Sentence: 20006,a,DT,O,,DT
103,Sentence: 20006,leader,NN,O,,NN
104,Sentence: 20006,among,IN,O,,IN
105,Sentence: 20006,European,JJ,O,,JJ
106,Sentence: 20006,nations,NNS,O,,NNS
107,Sentence: 20006,.,.,O,,.
108,Sentence: 20007,Since,IN,B-tim,,IN
109,Sentence: 20007,1958,CD,I-tim,,CD
110,Sentence: 20007,",",",",O,,","
111,Sentence: 20007,it,PRP,O,,PRP
112,Sentence: 20007,has,VBZ,O,,VBZ
113,Sentence: 20007,constructed,VBN,O,,VBN
114,Sentence: 20007,a,DT,O,,DT
115,Sentence: 20007,hybrid,JJ,O,,JJ
116,Sentence: 20007,presidential-parliamentary,JJ,O,,NNP
117,Sentence: 20007,governing,NN,O,,NN
118,Sentence: 20007,system,NN,O,,NN
119,Sentence: 20007,resistant,JJ,O,,NN
120,Sentence: 20007,to,TO,O,,TO
121,Sentence: 20007,the,DT,O,,DT
122,Sentence: 20007,instabilities,NNS,O,,NNP
123,Sentence: 20007,experienced,VBN,O,,VBD
124,Sentence: 20007,in,IN,O,,IN
125,Sentence: 20007,earlier,JJR,O,,RBR
126,Sentence: 20007,more,RBR,B-tim,,RBR
127,Sentence: 20007,purely,RB,I-tim,,JJ
128,Sentence: 20007,parliamentary,JJ,I-tim,,JJ
129,Sentence: 20007,administrations,NNS,I-tim,,NNP
130,Sentence: 20007,.,.,O,,.
131,Sentence: 20008,In,IN,O,,IN
132,Sentence: 20008,recent,JJ,O,,JJ
133,Sentence: 20008,decades,NNS,O,,NNS
134,Sentence: 20008,",",",",O,,","
135,Sentence: 20008,its,PRP$,O,,PRP$
136,Sentence: 20008,reconciliation,NN,O,,NN
137,Sentence: 20008,and,CC,O,,CC
138,Sentence: 20008,cooperation,NN,O,,NN
139,Sentence: 20008,with,IN,O,,IN
140,Sentence: 20008,Germany,NNP,B-geo,,NNP
141,Sentence: 20008,have,VBP,O,,VBP
142,Sentence: 20008,proved,VBN,O,,VBN
143,Sentence: 20008,central,JJ,O,,JJ
144,Sentence: 20008,to,TO,O,,TO
145,Sentence: 20008,the,DT,O,,DT
146,Sentence: 20008,economic,JJ,O,,JJ
147,Sentence: 20008,integration,NN,O,,NN
148,Sentence: 20008,of,IN,O,,IN
149,Sentence: 20008,Europe,NNP,B-geo,,NNP
150,Sentence: 20008,",",",",O,,","
151,Sentence: 20008,including,VBG,O,,VBG
152,Sentence: 20008,the,DT,O,,DT
153,Sentence: 20008,introduction,NN,O,,NN
154,Sentence: 20008,of,IN,O,,IN
155,Sentence: 20008,a,DT,O,,DT
156,Sentence: 20008,common,JJ,O,,JJ
157,Sentence: 20008,exchange,NN,O,,NN
158,Sentence: 20008,currency,NN,O,,NN
159,Sentence: 20008,",",",",O,,","
160,Sentence: 20008,the,DT,O,,DT
161,Sentence: 20008,euro,NN,O,,NN
162,Sentence: 20008,",",",",O,,","
163,Sentence: 20008,in,IN,O,,IN
164,Sentence: 20008,January,NNP,B-tim,,NNP
165,Sentence: 20008,1999,CD,I-tim,,CD
166,Sentence: 20008,.,.,O,,.
167,Sentence: 20009,In,IN,O,,IN
168,Sentence: 20009,the,DT,O,,DT
169,Sentence: 20009,early,JJ,O,,JJ
170,Sentence: 20009,21st,CD,B-tim,,JJ
171,Sentence: 20009,century,NN,I-tim,,NN
172,Sentence: 20009,",",",",O,,","
173,Sentence: 20009,five,CD,O,,CD
174,Sentence: 20009,French,JJ,B-gpe,,NNP
175,Sentence: 20009,overseas,JJ,O,,JJ
176,Sentence: 20009,entities,NNS,O,,NNS
177,Sentence: 20009,-,IN,O,,IN
178,Sentence: 20009,French,JJ,B-gpe,,NNP
179,Sentence: 20009,Guiana,NNP,B-geo,,NNP
180,Sentence: 20009,",",",",O,,","
181,Sentence: 20009,Guadeloupe,NNP,B-geo,,NNP
182,Sentence: 20009,",",",",O,,","
183,Sentence: 20009,Martinique,NNP,B-geo,,NNP
184,Sentence: 20009,",",",",O,,","
185,Sentence: 20009,Mayotte,NNP,B-geo,,NNP
186,Sentence: 20009,",",",",O,,","
187,Sentence: 20009,and,CC,O,,CC
188,Sentence: 20009,Reunion,NNP,O,,NNP
189,Sentence: 20009,-,:,O,,:
190,Sentence: 20009,became,VBD,O,,VBD
191,Sentence: 20009,French,JJ,B-gpe,,JJ
192,Sentence: 20009,regions,NNS,O,,NNS
193,Sentence: 20009,and,CC,O,,CC
194,Sentence: 20009,were,VBD,O,,VBD
195,Sentence: 20009,made,VBN,O,,VBN
196,Sentence: 20009,part,NN,O,,NN
197,Sentence: 20009,of,IN,O,,IN
198,Sentence: 20009,France,NNP,B-geo,,NNP
199,Sentence: 20009,proper,JJ,O,,JJ
200,Sentence: 20009,.,.,O,,.
201,Sentence: 20010,The,DT,O,,DT
202,Sentence: 20010,economy,NN,O,,NN
203,Sentence: 20010,has,VBZ,O,,VBZ
204,Sentence: 20010,grown,VBN,O,,VBN
205,Sentence: 20010,5-Jun,CD,O,,NNP
206,Sentence: 20010,%,NN,O,,NN
207,Sentence: 20010,per,IN,O,,IN
208,Sentence: 20010,year,NN,O,,NN
209,Sentence: 20010,since,IN,O,,IN
210,Sentence: 20010,1996,CD,B-tim,,CD
211,Sentence: 20010,despite,IN,O,,IN
212,Sentence: 20010,political,JJ,O,,JJ
213,Sentence: 20010,instability,NN,O,,NN
214,Sentence: 20010,",",",",O,,","
215,Sentence: 20010,poor,JJ,O,,JJ
216,Sentence: 20010,infrastructure,NN,O,,NN
217,Sentence: 20010,",",",",O,,","
218,Sentence: 20010,corruption,NN,O,,NN
219,Sentence: 20010,",",",",O,,","
220,Sentence: 20010,insufficient,JJ,O,,JJ
221,Sentence: 20010,power,NN,O,,NN
222,Sentence: 20010,supplies,NNS,O,,NNS
223,Sentence: 20010,",",",",O,,","
224,Sentence: 20010,and,CC,O,,CC
225,Sentence: 20010,slow,JJ,O,,JJ
226,Sentence: 20010,implementation,NN,O,,NN
227,Sentence: 20010,of,IN,O,,IN
228,Sentence: 20010,economic,JJ,O,,JJ
229,Sentence: 20010,reforms,NNS,O,,NNS
230,Sentence: 20010,.,.,O,,.
231,Sentence: 20011,Bangladesh,NNP,B-org,,NNP
232,Sentence: 20011,remains,VBZ,O,,VBZ
233,Sentence: 20011,a,DT,O,,DT
234,Sentence: 20011,poor,NN,O,,NN
235,Sentence: 20011,",",",",O,,","
236,Sentence: 20011,overpopulated,VBN,O,,NNP
237,Sentence: 20011,",",",",O,,","
238,Sentence: 20011,and,CC,O,,CC
239,Sentence: 20011,inefficiently-governed,JJ,O,,JJ
240,Sentence: 20011,nation,NN,O,,NN
241,Sentence: 20011,.,.,O,,.
242,Sentence: 20012,Although,IN,O,,IN
243,Sentence: 20012,more,JJR,O,,JJR
244,Sentence: 20012,than,IN,O,,IN
245,Sentence: 20012,half,NN,O,,NN
246,Sentence: 20012,of,IN,O,,IN
247,Sentence: 20012,GDP,NN,O,,NNP
248,Sentence: 20012,is,VBZ,O,,VBZ
249,Sentence: 20012,generated,VBN,O,,VBN
250,Sentence: 20012,through,IN,O,,IN
251,Sentence: 20012,the,DT,O,,DT
252,Sentence: 20012,service,NN,O,,NN
253,Sentence: 20012,sector,NN,O,,NN
254,Sentence: 20012,",",",",O,,","
255,Sentence: 20012,45,CD,O,,CD
256,Sentence: 20012,%,NN,O,,NN
257,Sentence: 20012,of,IN,O,,IN
258,Sentence: 20012,Bangladeshis,NNS,B-gpe,,NNS
259,Sentence: 20012,are,VBP,O,,VBP
260,Sentence: 20012,employed,VBN,O,,VBN
261,Sentence: 20012,in,IN,O,,IN
262,Sentence: 20012,the,DT,O,,DT
263,Sentence: 20012,agriculture,NN,O,,NN
264,Sentence: 20012,sector,NN,O,,NN
265,Sentence: 20012,",",",",O,,","
266,Sentence: 20012,with,IN,O,,IN
267,Sentence: 20012,rice,NN,O,,NN
268,Sentence: 20012,as,IN,O,,IN
269,Sentence: 20012,the,DT,O,,DT
270,Sentence: 20012,single-most-important,JJ,O,,NNP
271,Sentence: 20012,product,NN,O,,NN
272,Sentence: 20012,.,.,O,,.
273,Sentence: 20013,Bangladesh,NNP,B-org,,NNP
274,Sentence: 20013,'s,POS,O,,POS
275,Sentence: 20013,growth,NN,O,,NN
276,Sentence: 20013,was,VBD,O,,VBD
277,Sentence: 20013,resilient,JJ,O,,JJ
278,Sentence: 20013,during,IN,O,,IN
279,Sentence: 20013,the,DT,O,,DT
280,Sentence: 20013,2008,CD,B-tim,,CD
281,Sentence: 20013,-,:,I-tim,,:
282,Sentence: 20013,9,CD,I-tim,,CD
283,Sentence: 20013,global,JJ,O,,JJ
284,Sentence: 20013,financial,JJ,O,,JJ
285,Sentence: 20013,crisis,NN,O,,NN
286,Sentence: 20013,and,CC,O,,CC
287,Sentence: 20013,recession,NN,O,,NN
288,Sentence: 20013,.,.,O,,.
289,Sentence: 20014,Garment,NNP,O,,JJ
290,Sentence: 20014,exports,NNS,O,,NNS
291,Sentence: 20014,",",",",O,,","
292,Sentence: 20014,totaling,VBG,O,,NNP
293,Sentence: 20014,$,$,O,,$
294,Sentence: 20014,12.3,CD,O,,JJ
295,Sentence: 20014,billion,CD,O,,CD
296,Sentence: 20014,in,IN,O,,IN
297,Sentence: 20014,FY09,CD,O,,NNP
298,Sentence: 20014,and,CC,O,,CC
299,Sentence: 20014,remittances,NNS,O,,NNS
300,Sentence: 20014,from,IN,O,,IN
301,Sentence: 20014,overseas,JJ,O,,JJ
302,Sentence: 20014,Bangladeshis,NNS,B-gpe,,NNP
303,Sentence: 20014,",",",",O,,","
304,Sentence: 20014,totaling,VBG,O,,NNP
305,Sentence: 20014,$,$,O,,$
306,Sentence: 20014,11,CD,B-tim,,CD
307,Sentence: 20014,billion,CD,I-tim,,CD
308,Sentence: 20014,in,IN,I-tim,,IN
309,Sentence: 20014,FY10,CD,I-tim,,NNP
310,Sentence: 20014,",",",",O,,","
311,Sentence: 20014,accounted,VBD,O,,VBN
312,Sentence: 20014,for,IN,O,,IN
313,Sentence: 20014,almost,RB,O,,RB
314,Sentence: 20014,25,CD,O,,CD
315,Sentence: 20014,%,NN,O,,NN
316,Sentence: 20014,of,IN,O,,IN
317,Sentence: 20014,GDP,NN,O,,NNP
318,Sentence: 20014,.,.,O,,.
319,Sentence: 20015,Nepal,NNP,B-gpe,,NNP
320,Sentence: 20015,is,VBZ,O,,VBZ
321,Sentence: 20015,among,IN,O,,IN
322,Sentence: 20015,the,DT,O,,DT
323,Sentence: 20015,poorest,JJS,O,,JJS
324,Sentence: 20015,and,CC,O,,CC
325,Sentence: 20015,least,JJS,O,,JJS
326,Sentence: 20015,developed,JJ,O,,VBD
327,Sentence: 20015,countries,NNS,O,,NNS
328,Sentence: 20015,in,IN,O,,IN
329,Sentence: 20015,the,DT,O,,DT
330,Sentence: 20015,world,NN,O,,NN
331,Sentence: 20015,",",",",O,,","
332,Sentence: 20015,with,IN,O,,IN
333,Sentence: 20015,almost,RB,O,,RB
334,Sentence: 20015,one-quarter,NN,O,,NN
335,Sentence: 20015,of,IN,O,,IN
336,Sentence: 20015,its,PRP$,O,,PRP$
337,Sentence: 20015,population,NN,O,,NN
338,Sentence: 20015,living,NN,O,,NN
339,Sentence: 20015,below,IN,O,,IN
340,Sentence: 20015,the,DT,O,,DT
341,Sentence: 20015,poverty,NN,O,,NN
342,Sentence: 20015,line,NN,O,,NN
343,Sentence: 20015,.,.,O,,.
344,Sentence: 20016,Agriculture,NNP,B-org,,NNP
345,Sentence: 20016,is,VBZ,O,,VBZ
346,Sentence: 20016,the,DT,O,,DT
347,Sentence: 20016,mainstay,NN,O,,NN
348,Sentence: 20016,of,IN,O,,IN
349,Sentence: 20016,the,DT,O,,DT
350,Sentence: 20016,economy,NN,O,,NN
351,Sentence: 20016,",",",",O,,","
352,Sentence: 20016,providing,VBG,O,,VBG
353,Sentence: 20016,a,DT,O,,DT
354,Sentence: 20016,livelihood,NN,O,,NN
355,Sentence: 20016,for,IN,O,,IN
356,Sentence: 20016,three-fourths,NNS,O,,NN
357,Sentence: 20016,of,IN,O,,IN
358,Sentence: 20016,the,DT,O,,DT
359,Sentence: 20016,population,NN,O,,NN
360,Sentence: 20016,and,CC,O,,CC
361,Sentence: 20016,accounting,NN,O,,NN
362,Sentence: 20016,for,IN,O,,IN
363,Sentence: 20016,about,IN,O,,IN
364,Sentence: 20016,one-third,NN,B-tim,,NN
365,Sentence: 20016,of,IN,O,,IN
366,Sentence: 20016,GDP,NN,O,,NNP
367,Sentence: 20016,.,.,O,,.
368,Sentence: 20017,Industrial,JJ,O,,DT
369,Sentence: 20017,activity,NN,O,,NN
370,Sentence: 20017,mainly,RB,O,,RB
371,Sentence: 20017,involves,VBZ,O,,VBZ
372,Sentence: 20017,the,DT,O,,DT
373,Sentence: 20017,processing,NN,O,,NN
374,Sentence: 20017,of,IN,O,,IN
375,Sentence: 20017,agricultural,JJ,O,,JJ
376,Sentence: 20017,products,NNS,O,,NNS
377,Sentence: 20017,",",",",O,,","
378,Sentence: 20017,including,VBG,O,,VBG
379,Sentence: 20017,pulses,NNS,O,,NNP
380,Sentence: 20017,",",",",O,,","
381,Sentence: 20017,jute,NN,O,,JJ
382,Sentence: 20017,",",",",O,,","
383,Sentence: 20017,sugarcane,NN,O,,NNP
384,Sentence: 20017,",",",",O,,","
385,Sentence: 20017,tobacco,NN,O,,NN
386,Sentence: 20017,",",",",O,,","
387,Sentence: 20017,and,CC,O,,CC
388,Sentence: 20017,grain,NN,O,,NN
389,Sentence: 20017,.,.,O,,.
390,Sentence: 20018,Nepal,NNP,B-gpe,,NNP
391,Sentence: 20018,has,VBZ,O,,VBZ
392,Sentence: 20018,considerable,JJ,O,,JJ
393,Sentence: 20018,scope,NN,O,,NN
394,Sentence: 20018,for,IN,O,,IN
395,Sentence: 20018,exploiting,VBG,O,,VBG
396,Sentence: 20018,its,PRP$,O,,PRP$
397,Sentence: 20018,potential,NN,O,,NN
398,Sentence: 20018,in,IN,O,,IN
399,Sentence: 20018,hydropower,NN,O,,NN
400,Sentence: 20018,",",",",O,,","
401,Sentence: 20018,with,IN,O,,IN
402,Sentence: 20018,an,DT,O,,DT
403,Sentence: 20018,estimated,VBN,O,,VBN
404,Sentence: 20018,42000,CD,O,,NNP
405,Sentence: 20018,MW,NNP,B-org,,NNP
406,Sentence: 20018,of,IN,O,,IN
407,Sentence: 20018,feasible,JJ,O,,JJ
408,Sentence: 20018,capacity,NN,O,,NN
409,Sentence: 20018,",",",",O,,","
410,Sentence: 20018,but,CC,O,,CC
411,Sentence: 20018,political,JJ,O,,JJ
412,Sentence: 20018,instability,NN,O,,NN
413,Sentence: 20018,hampers,NNS,O,,NNS
414,Sentence: 20018,foreign,JJ,O,,JJ
415,Sentence: 20018,investment,NN,O,,NN
416,Sentence: 20018,.,.,O,,.
417,Sentence: 20019,Additional,JJ,O,,JJ
418,Sentence: 20019,challenges,NNS,O,,NNS
419,Sentence: 20019,to,TO,O,,TO
420,Sentence: 20019,Nepal,NNP,B-gpe,,NNP
421,Sentence: 20019,'s,POS,O,,POS
422,Sentence: 20019,growth,NN,O,,NN
423,Sentence: 20019,include,VBP,O,,VBP
424,Sentence: 20019,its,PRP$,O,,PRP$
425,Sentence: 20019,landlocked,JJ,O,,JJ
426,Sentence: 20019,geographic,JJ,O,,JJ
427,Sentence: 20019,location,NN,O,,NN
428,Sentence: 20019,",",",",O,,","
429,Sentence: 20019,civil,JJ,O,,JJ
430,Sentence: 20019,strife,NN,O,,NN
431,Sentence: 20019,and,CC,O,,CC
432,Sentence: 20019,labor,NN,O,,NN
433,Sentence: 20019,unrest,NN,O,,NN
434,Sentence: 20019,",",",",O,,","
435,Sentence: 20019,and,CC,O,,CC
436,Sentence: 20019,its,PRP$,O,,PRP$
437,Sentence: 20019,susceptibility,NN,O,,NNP
438,Sentence: 20019,to,TO,O,,TO
439,Sentence: 20019,natural,JJ,O,,JJ
440,Sentence: 20019,disaster,NN,O,,NN
441,Sentence: 20019,.,.,O,,.
442,Sentence: 20020,It,PRP,O,,PRP
443,Sentence: 20020,happened,VBD,O,,VBD
444,Sentence: 20020,that,IN,O,,IN
445,Sentence: 20020,a,DT,O,,DT
446,Sentence: 20020,Dog,NNP,O,,NNP
447,Sentence: 20020,had,VBD,O,,VBD
448,Sentence: 20020,got,VBN,O,,VBN
449,Sentence: 20020,a,DT,O,,DT
450,Sentence: 20020,piece,NN,O,,NN
451,Sentence: 20020,of,IN,O,,IN
452,Sentence: 20020,meat,NN,O,,NN
453,Sentence: 20020,and,CC,O,,CC
454,Sentence: 20020,was,VBD,O,,VBD
455,Sentence: 20020,carrying,VBG,O,,VBG
456,Sentence: 20020,it,PRP,O,,PRP
457,Sentence: 20020,home,NN,O,,NN
458,Sentence: 20020,in,IN,O,,IN
459,Sentence: 20020,his,PRP$,O,,PRP$
460,Sentence: 20020,mouth,NN,O,,NN
461,Sentence: 20020,to,TO,O,,TO
462,Sentence: 20020,eat,VB,O,,VB
463,Sentence: 20020,it,PRP,O,,PRP
464,Sentence: 20020,in,IN,O,,IN
465,Sentence: 20020,peace,NN,O,,NN
466,Sentence: 20020,.,.,O,,.
467,Sentence: 20021,Now,RB,O,,NNS
468,Sentence: 20021,on,IN,O,,IN
469,Sentence: 20021,his,PRP$,O,,PRP$
470,Sentence: 20021,way,NN,O,,NN
471,Sentence: 20021,home,NN,O,,NN
472,Sentence: 20021,he,PRP,O,,PRP
473,Sentence: 20021,had,VBD,O,,VBD
474,Sentence: 20021,to,TO,O,,TO
475,Sentence: 20021,cross,VB,O,,VB
476,Sentence: 20021,a,DT,O,,DT
477,Sentence: 20021,plank,NN,O,,NN
478,Sentence: 20021,lying,VBG,O,,VBG
479,Sentence: 20021,across,IN,O,,IN
480,Sentence: 20021,a,DT,O,,DT
481,Sentence: 20021,running,VBG,O,,VBG
482,Sentence: 20021,brook,NN,O,,NNP
483,Sentence: 20021,.,.,O,,.
484,Sentence: 20022,As,IN,O,,IN
485,Sentence: 20022,he,PRP,O,,PRP
486,Sentence: 20022,crossed,VBD,O,,VBD
487,Sentence: 20022,",",",",O,,","
488,Sentence: 20022,he,PRP,O,,PRP
489,Sentence: 20022,looked,VBD,O,,VBD
490,Sentence: 20022,down,RB,O,,RB
491,Sentence: 20022,and,CC,O,,CC
492,Sentence: 20022,saw,VBD,O,,VBD
493,Sentence: 20022,his,PRP$,O,,PRP$
494,Sentence: 20022,own,JJ,O,,JJ
495,Sentence: 20022,shadow,NN,O,,NN
496,Sentence: 20022,reflected,VBN,O,,VBD
497,Sentence: 20022,in,IN,O,,IN
498,Sentence: 20022,the,DT,O,,DT
499,Sentence: 20022,water,NN,O,,NN
500,Sentence: 20022,beneath,IN,O,,IN
501,Sentence: 20022,.,.,O,,.
502,Sentence: 20023,Thinking,VBG,O,,CC
503,Sentence: 20023,it,PRP,O,,PRP
504,Sentence: 20023,was,VBD,O,,VBD
505,Sentence: 20023,another,DT,O,,DT
506,Sentence: 20023,dog,NN,O,,NN
507,Sentence: 20023,with,IN,O,,IN
508,Sentence: 20023,another,DT,O,,DT
509,Sentence: 20023,piece,NN,O,,NN
510,Sentence: 20023,of,IN,O,,IN
511,Sentence: 20023,meat,NN,O,,NN
512,Sentence: 20023,",",",",O,,","
513,Sentence: 20023,he,PRP,O,,PRP
514,Sentence: 20023,made,VBD,O,,VBD
515,Sentence: 20023,up,RP,O,,RP
516,Sentence: 20023,his,PRP$,O,,PRP$
517,Sentence: 20023,mind,NN,O,,NN
518,Sentence: 20023,to,TO,O,,TO
519,Sentence: 20023,have,VB,O,,VB
520,Sentence: 20023,that,DT,O,,WDT
521,Sentence: 20023,also,RB,O,,RB
522,Sentence: 20023,.,.,O,,.
523,Sentence: 20024,So,RB,O,,CC
524,Sentence: 20024,he,PRP,O,,PRP
525,Sentence: 20024,made,VBD,O,,VBD
526,Sentence: 20024,a,DT,O,,DT
527,Sentence: 20024,snap,NN,O,,NN
528,Sentence: 20024,at,IN,O,,IN
529,Sentence: 20024,the,DT,O,,DT
530,Sentence: 20024,shadow,NN,O,,NN
531,Sentence: 20024,in,IN,O,,IN
532,Sentence: 20024,the,DT,O,,DT
533,Sentence: 20024,water,NN,O,,NN
534,Sentence: 20024,",",",",O,,","
535,Sentence: 20024,but,CC,O,,CC
536,Sentence: 20024,as,IN,O,,IN
537,Sentence: 20024,he,PRP,O,,PRP
538,Sentence: 20024,opened,VBD,O,,VBD
539,Sentence: 20024,his,PRP$,O,,PRP$
540,Sentence: 20024,mouth,NN,O,,NN
541,Sentence: 20024,the,DT,O,,DT
542,Sentence: 20024,piece,NN,O,,NN
543,Sentence: 20024,of,IN,O,,IN
544,Sentence: 20024,meat,NN,O,,NN
545,Sentence: 20024,fell,VBD,O,,VBD
546,Sentence: 20024,out,RP,O,,RP
547,Sentence: 20024,",",",",O,,","
548,Sentence: 20024,dropped,VBD,O,,VBD
549,Sentence: 20024,into,IN,O,,IN
550,Sentence: 20024,the,DT,O,,DT
551,Sentence: 20024,water,NN,O,,NN
552,Sentence: 20024,and,CC,O,,CC
553,Sentence: 20024,was,VBD,O,,VBD
554,Sentence: 20024,never,RB,O,,RB
555,Sentence: 20024,seen,VBN,O,,VBN
556,Sentence: 20024,more,RBR,O,,JJR
557,Sentence: 20024,.,.,O,,.
558,Sentence: 20025,Beware,VB,O,,DT
559,Sentence: 20025,lest,JJS,O,,NNP
560,Sentence: 20025,you,PRP,O,,PRP
561,Sentence: 20025,lose,VBP,O,,VBP
562,Sentence: 20025,the,DT,O,,DT
563,Sentence: 20025,substance,NN,O,,NN
564,Sentence: 20025,by,IN,O,,IN
565,Sentence: 20025,grasping,VBG,O,,NNP
566,Sentence: 20025,at,IN,O,,IN
567,Sentence: 20025,the,DT,O,,DT
568,Sentence: 20025,shadow,NN,O,,NN
569,Sentence: 20025,.,.,O,,.
570,Sentence: 20026,America,NNP,B-geo,,NNP
571,Sentence: 20026,and,CC,O,,CC
572,Sentence: 20026,Israel,NNP,B-geo,,NNP
573,Sentence: 20026,struck,VBD,O,,VBD
574,Sentence: 20026,a,DT,O,,DT
575,Sentence: 20026,deal,NN,O,,NN
576,Sentence: 20026,to,TO,O,,TO
577,Sentence: 20026,bolster,VB,O,,VB
578,Sentence: 20026,each,DT,O,,DT
579,Sentence: 20026,others,NNS,O,,NNS
580,Sentence: 20026,Armies,NNS,O,,NNP
581,Sentence: 20026,.,.,O,,.
582,Sentence: 20027,The,DT,O,,NNP
583,Sentence: 20027,Israelis,NNS,B-gpe,,NNP
584,Sentence: 20027,said,VBD,O,,VBD
585,Sentence: 20027,they,PRP,O,,PRP
586,Sentence: 20027,would,MD,O,,MD
587,Sentence: 20027,like,VB,O,,VB
588,Sentence: 20027,to,TO,O,,TO
589,Sentence: 20027,exchange,VB,O,,VB
590,Sentence: 20027,three,CD,O,,CD
591,Sentence: 20027,generals,NNS,O,,NNS
