,Sen,word,pos,tag,predict
143,Sentence: 34007,government,NN,O,NN
144,Sentence: 34007,to,TO,O,TO
145,Sentence: 34007,reconsider,VB,O,VB
146,Sentence: 34007,its,PRP$,O,PRP$
147,Sentence: 34007,stance,NN,O,NN
148,Sentence: 34007,and,CC,O,CC
149,Sentence: 34007,guarantee,VB,O,VBD
150,Sentence: 34007,an,DT,O,DT
151,Sentence: 34007,independent,JJ,O,JJ
152,Sentence: 34007,system,NN,O,NN
153,Sentence: 34007,of,IN,O,IN
154,Sentence: 34007,granting,VBG,O,NNP
155,Sentence: 34007,and,CC,O,CC
156,Sentence: 34007,renewing,VBG,O,JJ
157,Sentence: 34007,broadcast,NN,O,NN
158,Sentence: 34007,rights,NNS,O,NNS
159,Sentence: 34007,.,.,O,.
160,Sentence: 34008,Afghan,JJ,B-gpe,JJ
161,Sentence: 34008,President,NNP,B-per,NNP
162,Sentence: 34008,Hamid,NNP,I-per,NNP
163,Sentence: 34008,Karzai,NNP,I-per,NNP
164,Sentence: 34008,is,VBZ,O,VBZ
165,Sentence: 34008,considering,VBG,O,VBG
166,Sentence: 34008,holding,VBG,O,DT
167,Sentence: 34008,presidential,JJ,O,JJ
168,Sentence: 34008,elections,NNS,O,NNS
169,Sentence: 34008,in,IN,O,IN
170,Sentence: 34008,April,NNP,B-tim,NNP
171,Sentence: 34008,",",",",O,","
172,Sentence: 34008,four,CD,O,CD
173,Sentence: 34008,months,NNS,O,NNS
174,Sentence: 34008,earlier,JJR,O,VBD
175,Sentence: 34008,than,IN,O,IN
176,Sentence: 34008,an,DT,O,DT
177,Sentence: 34008,election,NN,O,NN
178,Sentence: 34008,date,NN,O,VBZ
179,Sentence: 34008,set,VBN,O,VBN
180,Sentence: 34008,by,IN,O,IN
181,Sentence: 34008,the,DT,O,DT
182,Sentence: 34008,country,NN,O,NN
183,Sentence: 34008,'s,POS,O,POS
184,Sentence: 34008,Independent,NNP,B-org,NNP
185,Sentence: 34008,Election,NNP,I-org,NNP
186,Sentence: 34008,Commission,NNP,I-org,NNP
187,Sentence: 34008,.,.,O,.
188,Sentence: 34009,Afghanistan,NNP,B-geo,NNP
189,Sentence: 34009,'s,POS,O,POS
190,Sentence: 34009,constitution,NN,O,NN
191,Sentence: 34009,requires,VBZ,O,NN
192,Sentence: 34009,that,IN,O,IN
193,Sentence: 34009,the,DT,O,DT
194,Sentence: 34009,presidential,JJ,O,JJ
195,Sentence: 34009,election,NN,O,NN
196,Sentence: 34009,be,VB,O,VBZ
197,Sentence: 34009,held,VBN,O,VBN
198,Sentence: 34009,by,IN,O,IN
199,Sentence: 34009,April,NNP,B-tim,NNP
200,Sentence: 34009,21,CD,I-tim,NNP
201,Sentence: 34009,",",",",O,","
202,Sentence: 34009,one,CD,B-tim,CD
203,Sentence: 34009,month,NN,O,NN
204,Sentence: 34009,before,IN,B-tim,IN
205,Sentence: 34009,Mr.,NNP,B-per,NNP
206,Sentence: 34009,Karzai,NNP,I-per,NNP
207,Sentence: 34009,'s,POS,O,POS
208,Sentence: 34009,five-year,JJ,O,JJ
209,Sentence: 34009,term,NN,O,NN
210,Sentence: 34009,expires,VBZ,O,NN
211,Sentence: 34009,.,.,O,.
212,Sentence: 34010,Last,JJ,O,JJ
213,Sentence: 34010,month,NN,O,NN
214,Sentence: 34010,",",",",O,","
215,Sentence: 34010,Afghan,JJ,B-gpe,JJ
216,Sentence: 34010,election,NN,O,NN
217,Sentence: 34010,chief,NN,O,NN
218,Sentence: 34010,",",",",O,","
219,Sentence: 34010,Azizullah,NNP,B-per,NNP
220,Sentence: 34010,Lodin,NNP,I-per,NNP
221,Sentence: 34010,",",",",O,","
222,Sentence: 34010,said,VBD,O,VBD
223,Sentence: 34010,the,DT,O,DT
224,Sentence: 34010,commission,NN,O,NN
225,Sentence: 34010,decided,VBD,O,VBD
226,Sentence: 34010,to,TO,O,TO
227,Sentence: 34010,reschedule,VB,O,VB
228,Sentence: 34010,the,DT,O,DT
229,Sentence: 34010,vote,NN,O,NN
230,Sentence: 34010,for,IN,O,IN
231,Sentence: 34010,August,NNP,B-tim,NNP
232,Sentence: 34010,to,TO,O,TO
233,Sentence: 34010,give,VB,O,VB
234,Sentence: 34010,incoming,JJ,O,DT
235,Sentence: 34010,U.S.,NNP,B-geo,NNP
236,Sentence: 34010,forces,NNS,O,NNS
237,Sentence: 34010,time,NN,O,NN
238,Sentence: 34010,to,TO,O,TO
239,Sentence: 34010,stabilize,VB,O,VB
240,Sentence: 34010,the,DT,O,DT
241,Sentence: 34010,country,NN,O,NN
242,Sentence: 34010,.,.,O,.
243,Sentence: 34011,But,CC,O,CC
244,Sentence: 34011,opposition,NN,O,NN
245,Sentence: 34011,leaders,NNS,O,NNS
246,Sentence: 34011,have,VBP,O,VBP
247,Sentence: 34011,insisted,VBN,O,VBN
248,Sentence: 34011,that,IN,O,IN
249,Sentence: 34011,Mr.,NNP,B-per,NNP
250,Sentence: 34011,Karzai,NNP,I-per,NNP
251,Sentence: 34011,step,VB,O,NN
252,Sentence: 34011,down,RP,O,","
253,Sentence: 34011,when,WRB,O,WRB
254,Sentence: 34011,his,PRP$,O,PRP$
255,Sentence: 34011,term,NN,O,NN
256,Sentence: 34011,expires,VBZ,O,NN
257,Sentence: 34011,in,IN,O,IN
258,Sentence: 34011,May,NNP,B-tim,NNP
259,Sentence: 34011,and,CC,O,CC
260,Sentence: 34011,install,VB,O,VB
261,Sentence: 34011,a,DT,O,DT
262,Sentence: 34011,caretaker,NN,O,NN
263,Sentence: 34011,government,NN,O,NN
264,Sentence: 34011,.,.,O,.
265,Sentence: 34012,U.S.,NNP,B-geo,NNP
266,Sentence: 34012,support,NN,O,NN
267,Sentence: 34012,for,IN,O,IN
268,Sentence: 34012,the,DT,O,DT
269,Sentence: 34012,embattled,JJ,O,JJ
270,Sentence: 34012,president,NN,O,NN
271,Sentence: 34012,came,VBD,O,VBD
272,Sentence: 34012,into,IN,O,IN
273,Sentence: 34012,question,NN,O,NN
274,Sentence: 34012,after,IN,O,IN
275,Sentence: 34012,the,DT,O,DT
276,Sentence: 34012,Obama,NNP,B-per,NNP
277,Sentence: 34012,administration,NN,O,NN
278,Sentence: 34012,openly,RB,O,IN
279,Sentence: 34012,accused,VBD,O,NNP
280,Sentence: 34012,Mr.,NNP,B-per,NNP
281,Sentence: 34012,Karzai,NNP,I-per,NNP
282,Sentence: 34012,of,IN,O,IN
283,Sentence: 34012,failing,VBG,O,VBG
284,Sentence: 34012,to,TO,O,TO
285,Sentence: 34012,crack,VB,O,VB
286,Sentence: 34012,down,RP,O,RP
287,Sentence: 34012,on,IN,O,IN
288,Sentence: 34012,government,NN,O,NN
289,Sentence: 34012,corruption,NN,O,NN
290,Sentence: 34012,.,.,O,.
291,Sentence: 34013,Democratic,JJ,O,JJ
292,Sentence: 34013,U.S.,NNP,B-org,NNP
293,Sentence: 34013,Senator,NNP,O,NNP
294,Sentence: 34013,Joseph,NNP,B-per,NNP
295,Sentence: 34013,Biden,NNP,I-per,NNP
296,Sentence: 34013,of,IN,O,IN
297,Sentence: 34013,Delaware,NNP,B-geo,NNP
298,Sentence: 34013,has,VBZ,O,VBZ
299,Sentence: 34013,announced,VBN,O,VBN
300,Sentence: 34013,he,PRP,O,PRP
301,Sentence: 34013,is,VBZ,O,VBZ
302,Sentence: 34013,seeking,VBG,O,VBG
303,Sentence: 34013,his,PRP$,O,PRP$
304,Sentence: 34013,party,NN,O,NN
305,Sentence: 34013,'s,POS,O,POS
306,Sentence: 34013,2008,CD,O,JJ
307,Sentence: 34013,presidential,JJ,O,JJ
308,Sentence: 34013,nomination,NN,O,NN
309,Sentence: 34013,.,.,O,.
310,Sentence: 34014,Biden,NNP,B-per,PRP
311,Sentence: 34014,announced,VBD,O,VBD
312,Sentence: 34014,his,PRP$,O,PRP$
313,Sentence: 34014,intention,NN,O,NN
314,Sentence: 34014,to,TO,O,TO
315,Sentence: 34014,enter,VB,O,VB
316,Sentence: 34014,the,DT,O,DT
317,Sentence: 34014,race,NN,O,NN
318,Sentence: 34014,on,IN,O,IN
319,Sentence: 34014,American,JJ,B-gpe,JJ
320,Sentence: 34014,television,NN,O,NN
321,Sentence: 34014,Wednesday,NNP,B-tim,NNP
322,Sentence: 34014,.,.,O,.
323,Sentence: 34015,Biden,NNP,B-per,PRP
324,Sentence: 34015,is,VBZ,O,VBZ
325,Sentence: 34015,currently,RB,O,VBN
326,Sentence: 34015,the,DT,O,DT
327,Sentence: 34015,chairman,NN,O,NN
328,Sentence: 34015,of,IN,O,IN
329,Sentence: 34015,the,DT,O,DT
330,Sentence: 34015,Senate,NNP,B-org,NNP
331,Sentence: 34015,Foreign,NNP,I-org,NNP
332,Sentence: 34015,Relations,NNP,I-org,NNP
333,Sentence: 34015,Committee,NNP,I-org,NNP
334,Sentence: 34015,and,CC,O,CC
335,Sentence: 34015,is,VBZ,O,VBZ
336,Sentence: 34015,a,DT,O,DT
337,Sentence: 34015,prominent,JJ,O,JJ
338,Sentence: 34015,critic,NN,O,NN
339,Sentence: 34015,of,IN,O,IN
340,Sentence: 34015,President,NNP,B-per,NNP
341,Sentence: 34015,Bush,NNP,I-per,NNP
342,Sentence: 34015,'s,POS,O,POS
343,Sentence: 34015,Iraq,NNP,B-geo,NNP
344,Sentence: 34015,war,NN,O,NN
345,Sentence: 34015,strategy,NN,O,NN
346,Sentence: 34015,.,.,O,.
347,Sentence: 34016,On,IN,O,IN
348,Sentence: 34016,his,PRP$,O,PRP$
349,Sentence: 34016,campaign,NN,O,NN
350,Sentence: 34016,web,NN,O,IN
351,Sentence: 34016,site,NN,O,NN
352,Sentence: 34016,",",",",O,","
353,Sentence: 34016,the,DT,O,DT
354,Sentence: 34016,senator,NN,O,NN
355,Sentence: 34016,highlights,VBZ,O,IN
356,Sentence: 34016,his,PRP$,O,PRP$
357,Sentence: 34016,plan,NN,O,NN
358,Sentence: 34016,for,IN,O,IN
359,Sentence: 34016,Iraq,NNP,B-geo,NNP
360,Sentence: 34016,",",",",O,","
361,Sentence: 34016,which,WDT,O,WDT
362,Sentence: 34016,calls,VBZ,O,VBZ
363,Sentence: 34016,for,IN,O,IN
364,Sentence: 34016,most,JJS,O,NNP
365,Sentence: 34016,U.S.,NNP,B-geo,NNP
366,Sentence: 34016,troops,NNS,O,NNS
367,Sentence: 34016,to,TO,O,TO
368,Sentence: 34016,withdraw,VB,O,VB
369,Sentence: 34016,by,IN,O,IN
370,Sentence: 34016,the,DT,O,DT
371,Sentence: 34016,end,NN,B-tim,NN
372,Sentence: 34016,of,IN,I-tim,IN
373,Sentence: 34016,2007,CD,I-tim,CD
374,Sentence: 34016,.,.,O,.
375,Sentence: 34017,Biden,NNP,B-org,PRP
376,Sentence: 34017,has,VBZ,O,VBZ
377,Sentence: 34017,served,VBN,O,VBN
378,Sentence: 34017,in,IN,O,IN
379,Sentence: 34017,the,DT,O,DT
380,Sentence: 34017,U.S.,NNP,B-geo,NNP
381,Sentence: 34017,Senate,NNP,B-org,NNP
382,Sentence: 34017,for,IN,O,IN
383,Sentence: 34017,more,JJR,O,JJR
384,Sentence: 34017,than,IN,O,IN
385,Sentence: 34017,30,CD,B-tim,CD
386,Sentence: 34017,years,NNS,O,NNS
387,Sentence: 34017,.,.,O,.
388,Sentence: 34018,He,PRP,O,PRP
389,Sentence: 34018,lost,VBD,O,VBD
390,Sentence: 34018,a,DT,O,DT
391,Sentence: 34018,previous,JJ,O,JJ
392,Sentence: 34018,bid,NN,O,NN
393,Sentence: 34018,for,IN,O,IN
394,Sentence: 34018,the,DT,O,DT
395,Sentence: 34018,Democratic,JJ,O,JJ
396,Sentence: 34018,nomination,NN,O,NN
397,Sentence: 34018,in,IN,O,IN
398,Sentence: 34018,1988,CD,B-tim,NNP
399,Sentence: 34018,.,.,O,.
400,Sentence: 34019,More,JJR,O,CD
401,Sentence: 34019,candidates,NNS,O,NNS
402,Sentence: 34019,are,VBP,O,VBP
403,Sentence: 34019,expected,VBN,O,VBN
404,Sentence: 34019,to,TO,O,TO
405,Sentence: 34019,join,VB,O,VB
406,Sentence: 34019,the,DT,O,DT
407,Sentence: 34019,race,NN,O,NN
408,Sentence: 34019,to,TO,O,TO
409,Sentence: 34019,be,VB,O,VB
410,Sentence: 34019,the,DT,O,DT
411,Sentence: 34019,Democratic,NNP,B-org,JJ
412,Sentence: 34019,Party,NNP,I-org,NNP
413,Sentence: 34019,'s,POS,O,POS
414,Sentence: 34019,nominee,NN,O,NN
415,Sentence: 34019,",",",",O,","
416,Sentence: 34019,a,DT,O,DT
417,Sentence: 34019,field,NN,O,NN
418,Sentence: 34019,that,WDT,O,WDT
419,Sentence: 34019,has,VBZ,O,VBZ
420,Sentence: 34019,been,VBN,O,VBN
421,Sentence: 34019,dominated,VBN,O,IN
422,Sentence: 34019,so,RB,O,DT
423,Sentence: 34019,far,RB,O,NN
424,Sentence: 34019,by,IN,O,IN
425,Sentence: 34019,popular,JJ,O,JJ
426,Sentence: 34019,senators,NNS,O,NNS
427,Sentence: 34019,Hillary,NNP,B-per,IN
428,Sentence: 34019,Clinton,NNP,I-per,NNP
429,Sentence: 34019,and,CC,O,CC
430,Sentence: 34019,Barack,NNP,B-per,NNP
431,Sentence: 34019,Obama,NNP,I-per,NNP
432,Sentence: 34019,.,.,O,.
433,Sentence: 34020,Dozens,NNS,O,NNS
434,Sentence: 34020,of,IN,O,IN
435,Sentence: 34020,U.S.,NNP,B-org,NNP
436,Sentence: 34020,Christian,NNP,I-org,NNP
437,Sentence: 34020,missionaries,NNS,I-org,NNS
438,Sentence: 34020,have,VBP,O,VBP
439,Sentence: 34020,left,VBN,O,VBN
440,Sentence: 34020,their,PRP$,O,PRP$
441,Sentence: 34020,posts,NNS,O,NNS
442,Sentence: 34020,in,IN,O,IN
443,Sentence: 34020,Venezuela,NNP,B-geo,NNP
444,Sentence: 34020,'s,POS,O,POS
445,Sentence: 34020,jungle,NN,O,JJ
446,Sentence: 34020,ahead,RB,O,NN
447,Sentence: 34020,of,IN,O,IN
448,Sentence: 34020,a,DT,O,DT
449,Sentence: 34020,government,NN,O,NN
450,Sentence: 34020,order,NN,O,NN
451,Sentence: 34020,to,TO,O,TO
452,Sentence: 34020,leave,VB,O,VB
453,Sentence: 34020,the,DT,O,DT
454,Sentence: 34020,area,NN,O,NN
455,Sentence: 34020,.,.,O,.
456,Sentence: 34021,The,DT,O,DT
457,Sentence: 34021,New,NNP,B-org,NNP
458,Sentence: 34021,Tribes,NNP,I-org,NNP
459,Sentence: 34021,Mission,NNP,I-org,NNP
460,Sentence: 34021,said,VBD,O,VBD
461,Sentence: 34021,it,PRP,O,PRP
462,Sentence: 34021,had,VBD,O,VBD
463,Sentence: 34021,withdrawn,VBN,O,DT
464,Sentence: 34021,all,DT,O,NN
465,Sentence: 34021,of,IN,O,IN
466,Sentence: 34021,its,PRP$,O,PRP$
467,Sentence: 34021,missionaries,NNS,O,NN
468,Sentence: 34021,from,IN,O,IN
469,Sentence: 34021,Venezuelan,JJ,B-gpe,JJ
470,Sentence: 34021,tribal,JJ,O,JJ
471,Sentence: 34021,areas,NNS,O,NNS
472,Sentence: 34021,",",",",O,","
473,Sentence: 34021,where,WRB,O,WRB
474,Sentence: 34021,the,DT,O,DT
475,Sentence: 34021,evangelical,JJ,O,JJ
476,Sentence: 34021,group,NN,O,NN
477,Sentence: 34021,had,VBD,O,VBD
478,Sentence: 34021,been,VBN,O,VBN
479,Sentence: 34021,active,JJ,O,VBN
480,Sentence: 34021,for,IN,O,IN
481,Sentence: 34021,decades,NNS,O,NNS
482,Sentence: 34021,.,.,O,.
483,Sentence: 34022,A,DT,O,DT
484,Sentence: 34022,spokeswoman,NN,O,NN
485,Sentence: 34022,for,IN,O,IN
486,Sentence: 34022,the,DT,O,DT
487,Sentence: 34022,group,NN,O,NN
488,Sentence: 34022,",",",",O,","
489,Sentence: 34022,Nita,NNP,B-per,NNP
490,Sentence: 34022,Zelenak,NNP,I-per,NNP
491,Sentence: 34022,",",",",O,","
492,Sentence: 34022,told,VBD,O,VBD
493,Sentence: 34022,VOA,NNP,B-org,NNP
494,Sentence: 34022,news,NN,O,NN
495,Sentence: 34022,Sunday,NNP,B-tim,NNP
496,Sentence: 34022,that,IN,O,IN
497,Sentence: 34022,35,CD,O,CD
498,Sentence: 34022,adults,NNS,O,NNS
499,Sentence: 34022,and,CC,O,CC
500,Sentence: 34022,19,CD,O,CD
501,Sentence: 34022,children,NNS,O,NNS
502,Sentence: 34022,have,VBP,O,VBP
503,Sentence: 34022,left,VBN,O,VBN
504,Sentence: 34022,the,DT,O,DT
505,Sentence: 34022,tribal,JJ,O,JJ
506,Sentence: 34022,areas,NNS,O,NNS
507,Sentence: 34022,.,.,O,.
508,Sentence: 34023,Some,DT,O,DT
509,Sentence: 34023,returned,VBD,O,NN
510,Sentence: 34023,to,TO,O,TO
511,Sentence: 34023,the,DT,O,DT
512,Sentence: 34023,United,NNP,B-geo,NNP
513,Sentence: 34023,States,NNPS,I-geo,NNPS
514,Sentence: 34023,and,CC,O,CC
515,Sentence: 34023,others,NNS,O,NNS
516,Sentence: 34023,have,VBP,O,VBP
517,Sentence: 34023,moved,VBN,O,VBN
518,Sentence: 34023,to,TO,O,TO
519,Sentence: 34023,other,JJ,O,JJ
520,Sentence: 34023,locations,NNS,O,NN
521,Sentence: 34023,in,IN,O,IN
522,Sentence: 34023,Venezuela,NNP,B-geo,NNP
523,Sentence: 34023,.,.,O,.
524,Sentence: 34024,In,IN,O,IN
525,Sentence: 34024,November,NNP,B-tim,NNP
526,Sentence: 34024,",",",",O,","
527,Sentence: 34024,Venezuelan,JJ,B-gpe,JJ
528,Sentence: 34024,President,NNP,B-per,NNP
529,Sentence: 34024,Hugo,NNP,I-per,NNP
530,Sentence: 34024,Chavez,NNP,I-per,NNP
531,Sentence: 34024,gave,VBD,O,VBD
532,Sentence: 34024,the,DT,O,DT
533,Sentence: 34024,group,NN,O,NN
534,Sentence: 34024,a,DT,O,DT
535,Sentence: 34024,February,NNP,B-tim,NNP
536,Sentence: 34024,12,CD,I-tim,CD
537,Sentence: 34024,deadline,NN,O,NN
538,Sentence: 34024,to,TO,O,TO
539,Sentence: 34024,leave,VB,O,VB
540,Sentence: 34024,.,.,O,.
541,Sentence: 34025,He,PRP,O,PRP
542,Sentence: 34025,accused,VBD,O,VBD
543,Sentence: 34025,the,DT,O,DT
544,Sentence: 34025,missionaries,NNS,O,NN
545,Sentence: 34025,of,IN,O,IN
546,Sentence: 34025,having,VBG,O,DT
547,Sentence: 34025,links,NNS,O,NNS
548,Sentence: 34025,to,TO,O,TO
549,Sentence: 34025,the,DT,O,DT
550,Sentence: 34025,CIA,NNP,B-org,NNP
551,Sentence: 34025,and,CC,O,CC
552,Sentence: 34025,abusing,VBG,O,DT
553,Sentence: 34025,indigenous,JJ,O,JJ
554,Sentence: 34025,groups,NNS,O,NNS
555,Sentence: 34025,.,.,O,.
556,Sentence: 34026,The,DT,O,DT
557,Sentence: 34026,New,NNP,B-org,NNP
558,Sentence: 34026,Tribes,NNP,I-org,NNP
559,Sentence: 34026,Mission,NNP,I-org,NNP
560,Sentence: 34026,denies,VBZ,O,VBZ
561,Sentence: 34026,the,DT,O,DT
562,Sentence: 34026,accusations,NNS,O,NN
563,Sentence: 34026,.,.,O,.
564,Sentence: 34027,The,DT,O,DT
565,Sentence: 34027,group,NN,O,NN
566,Sentence: 34027,has,VBZ,O,VBZ
567,Sentence: 34027,filed,VBN,O,VBN
568,Sentence: 34027,a,DT,O,DT
569,Sentence: 34027,legal,JJ,O,JJ
570,Sentence: 34027,challenge,NN,O,NN
571,Sentence: 34027,to,TO,O,TO
572,Sentence: 34027,the,DT,O,DT
573,Sentence: 34027,expulsion,NN,O,JJ
574,Sentence: 34027,order,NN,O,NN
575,Sentence: 34027,.,.,O,.
576,Sentence: 34028,U.S.,NNP,B-geo,NNP
577,Sentence: 34028,and,CC,O,CC
578,Sentence: 34028,European,JJ,O,JJ
579,Sentence: 34028,naval,JJ,O,JJ
580,Sentence: 34028,officials,NNS,O,NNS
581,Sentence: 34028,say,VBP,O,VBP
582,Sentence: 34028,pirates,NNS,O,NNS
583,Sentence: 34028,have,VBP,O,VBP
584,Sentence: 34028,hijacked,VBN,O,VBN
585,Sentence: 34028,two,CD,O,CD
586,Sentence: 34028,European-owned,JJ,O,NNS
587,Sentence: 34028,tanker,NN,O,IN
588,Sentence: 34028,ships,NNS,O,NNS
589,Sentence: 34028,off,IN,O,IN
590,Sentence: 34028,the,DT,O,DT
591,Sentence: 34028,coast,NN,O,NN
592,Sentence: 34028,of,IN,O,IN
593,Sentence: 34028,Somalia,NNP,B-geo,NNP
594,Sentence: 34028,.,.,O,.
595,Sentence: 34029,The,DT,O,DT
596,Sentence: 34029,officials,NNS,O,NNS
597,Sentence: 34029,say,VBP,O,VBP
598,Sentence: 34029,a,DT,O,DT
599,Sentence: 34029,Greek-owned,JJ,O,JJ
600,Sentence: 34029,chemical,NN,O,NN
601,Sentence: 34029,tanker,NN,O,NN
602,Sentence: 34029,",",",",O,","
603,Sentence: 34029,the,DT,O,DT
604,Sentence: 34029,MV,NNP,B-org,JJ
